Time[s],CH1[C],CH2[C],CH3[C],CH4[C],CH5[C],CH6[C],CH7[C],CH8[C]
0,11.7,11.5,11.5,11.3,11.6,11.4,11.7,11.5
10,11.7,11.5,11.4,11.3,11.6,11.4,11.7,11.5
20,11.7,11.5,11.4,11.3,11.6,11.4,11.7,11.5
30,11.7,11.5,11.5,11.3,11.6,11.5,11.8,11.6
40,11.7,11.5,11.5,11.3,11.6,11.5,11.8,11.7
50,11.7,11.5,11.5,11.4,11.7,11.6,11.9,11.8
60,11.7,11.5,11.5,11.4,11.7,11.7,12,12
70,11.7,11.6,11.6,11.5,11.8,11.7,12.1,12.1
80,11.7,11.6,11.6,11.5,11.9,11.8,12.2,12.2
90,11.8,11.6,11.7,11.6,11.9,11.9,12.2,12.3
100,11.8,11.7,11.7,11.7,12,12,12.4,12.4
110,11.8,11.7,11.8,11.7,12.1,12.1,12.5,12.6
120,11.9,11.8,11.8,11.8,12.2,12.2,12.6,12.7
130,11.9,11.8,11.9,11.9,12.2,12.3,12.7,12.8
140,12,11.9,12,12,12.3,12.5,12.8,13
150,12,11.9,12,12.1,12.4,12.5,12.9,13.1
160,12,12,12.1,12.1,12.5,12.6,13,13.2
170,12.1,12,12.2,12.2,12.6,12.7,13.1,13.3
180,12.1,12.1,12.2,12.3,12.7,12.8,13.2,13.4
190,12.1,12.1,12.3,12.3,12.7,12.9,13.3,13.5
200,12.2,12.2,12.3,12.4,12.8,13,13.4,13.6
210,12.2,12.2,12.4,12.5,12.9,13.1,13.5,13.7
220,12.2,12.3,12.4,12.5,13,13.2,13.6,13.8
230,12.2,12.3,12.5,12.6,13,13.3,13.6,13.9
240,12.3,12.3,12.5,12.7,13.1,13.3,13.7,14
250,12.3,12.4,12.6,12.7,13.1,13.4,13.8,14.1
260,12.3,12.4,12.6,12.8,13.2,13.5,13.9,14.2
270,12.4,12.5,12.7,12.8,13.3,13.5,14,14.3
280,12.4,12.5,12.7,12.9,13.3,13.6,14,14.3
290,12.4,12.5,12.8,12.9,13.4,13.7,14.1,14.4
300,12.5,12.6,12.8,13,13.5,13.7,14.2,14.5
310,12.5,12.6,12.8,13,13.5,13.8,14.2,14.5
320,12.5,12.6,12.9,13.1,13.6,13.8,14.3,14.6
330,12.5,12.7,12.9,13.1,13.6,13.9,14.3,14.7
340,12.6,12.7,13,13.2,13.6,14,14.4,14.7
350,12.6,12.7,13,13.2,13.7,14,14.5,14.8
360,12.6,12.7,13,13.2,13.8,14.1,14.5,14.9
370,12.6,12.8,13.1,13.3,13.8,14.1,14.6,14.9
380,12.6,12.8,13.1,13.3,13.8,14.2,14.6,15
390,12.7,12.8,13.1,13.4,13.9,14.2,14.7,15
400,12.7,12.9,13.2,13.4,13.9,14.2,14.7,15.1
410,12.7,12.9,13.2,13.4,14,14.3,14.8,15.1
420,12.7,12.9,13.2,13.5,14,14.3,14.8,15.2
430,12.7,12.9,13.2,13.5,14,14.4,14.8,15.2
440,12.8,13,13.3,13.5,14.1,14.4,14.9,15.3
450,12.8,13,13.3,13.6,14.1,14.4,14.9,15.3
460,12.8,13,13.3,13.6,14.1,14.5,15,15.3
470,12.8,13,13.4,13.6,14.2,14.5,15,15.4
480,12.9,13.1,13.4,13.6,14.2,14.6,15,15.4
490,12.9,13.1,13.4,13.7,14.2,14.6,15.1,15.5
500,12.9,13.1,13.4,13.7,14.3,14.6,15.1,15.5
510,12.9,13.1,13.4,13.7,14.3,14.6,15.1,15.5
520,12.9,13.1,13.5,13.7,14.3,14.7,15.2,15.6
530,12.9,13.1,13.5,13.8,14.3,14.7,15.2,15.6
540,12.9,13.1,13.5,13.8,14.3,14.7,15.2,15.6
550,12.9,13.2,13.5,13.8,14.4,14.7,15.3,15.7
560,13,13.2,13.5,13.8,14.4,14.8,15.3,15.7
570,13,13.2,13.5,13.8,14.4,14.8,15.3,15.7
580,13,13.2,13.5,13.8,14.4,14.8,15.3,15.7
590,13,13.2,13.6,13.9,14.5,14.8,15.3,15.8
600,13,13.2,13.6,13.9,14.5,14.8,15.4,15.8
610,13,13.2,13.6,13.9,14.5,14.9,15.4,15.8
620,13,13.2,13.6,13.9,14.5,14.9,15.4,15.8
630,13,13.2,13.6,13.9,14.5,14.9,15.4,15.8
640,13,13.3,13.6,13.9,14.5,14.9,15.4,15.9
650,13,13.3,13.7,14,14.6,14.9,15.5,15.9
660,13,13.3,13.7,14,14.6,14.9,15.5,15.9
670,13.1,13.3,13.7,14,14.6,15,15.5,15.9
680,13.1,13.3,13.7,14,14.6,15,15.5,15.9
690,13.1,13.3,13.7,14,14.6,15,15.6,16
700,13.1,13.3,13.7,14,14.6,15,15.6,16
710,13.1,13.3,13.7,14,14.6,15,15.6,16
720,13.1,13.4,13.7,14,14.7,15,15.6,16
730,13.1,13.3,13.7,14,14.7,15,15.6,16
740,13.1,13.4,13.7,14.1,14.7,15.1,15.6,16
750,13.1,13.4,13.8,14.1,14.7,15.1,15.6,16.1
760,13.1,13.4,13.8,14.1,14.7,15.1,15.7,16.1
770,13.1,13.4,13.8,14.1,14.7,15.1,15.7,16.1
780,13.1,13.4,13.8,14.1,14.7,15.1,15.7,16.1
790,13.1,13.4,13.8,14.1,14.7,15.1,15.7,16.1
800,13.1,13.4,13.8,14.1,14.8,15.1,15.7,16.1
810,13.1,13.4,13.8,14.1,14.8,15.1,15.7,16.1
820,13.2,13.4,13.8,14.1,14.8,15.1,15.7,16.2
830,13.2,13.4,13.8,14.1,14.8,15.2,15.7,16.2
840,13.2,13.4,13.8,14.1,14.8,15.2,15.7,16.2
850,13.2,13.4,13.8,14.1,14.8,15.2,15.8,16.2
860,13.2,13.4,13.8,14.1,14.8,15.2,15.8,16.2
870,13.2,13.4,13.8,14.1,14.8,15.2,15.8,16.2
880,13.2,13.4,13.8,14.2,14.8,15.2,15.8,16.2
890,13.2,13.4,13.8,14.2,14.8,15.2,15.8,16.2
900,13.2,13.4,13.8,14.2,14.8,15.2,15.8,16.2
910,13.2,13.5,13.8,14.2,14.8,15.2,15.8,16.2
920,13.2,13.5,13.9,14.2,14.9,15.2,15.8,16.2
930,13.2,13.5,13.9,14.2,14.8,15.2,15.8,16.3
940,13.2,13.5,13.8,14.2,14.9,15.2,15.8,16.3
950,13.2,13.5,13.9,14.2,14.9,15.2,15.8,16.3
960,13.2,13.5,13.9,14.2,14.9,15.3,15.9,16.3
970,13.2,13.5,13.9,14.2,14.9,15.3,15.9,16.3
980,13.2,13.5,13.9,14.2,14.9,15.3,15.9,16.3
990,13.2,13.5,13.9,14.2,14.9,15.3,15.9,16.3
1000,13.2,13.5,13.9,14.2,14.9,15.3,15.9,16.3
1010,13.2,13.5,13.9,14.2,14.9,15.3,15.9,16.3
1020,13.2,13.5,13.9,14.2,14.9,15.3,15.9,16.3
1030,13.2,13.5,13.9,14.2,14.9,15.3,15.9,16.3
1040,13.2,13.5,13.9,14.2,14.9,15.3,15.9,16.3
1050,13.3,13.5,13.9,14.2,14.9,15.3,15.9,16.3
1060,13.3,13.5,13.9,14.2,14.9,15.3,15.9,16.4
1070,13.2,13.5,13.9,14.2,14.9,15.3,15.9,16.4
1080,13.3,13.5,13.9,14.3,14.9,15.3,15.9,16.4
1090,13.2,13.5,13.9,14.3,14.9,15.3,15.9,16.4
1100,13.3,13.5,13.9,14.3,14.9,15.3,15.9,16.4
1110,13.3,13.5,13.9,14.3,14.9,15.3,15.9,16.4
1120,13.3,13.5,13.9,14.3,15,15.4,15.9,16.4
1130,13.3,13.5,13.9,14.3,14.9,15.3,16,16.4
1140,13.3,13.5,13.9,14.3,15,15.3,16,16.4
1150,13.3,13.5,13.9,14.3,15,15.4,16,16.4
1160,13.3,13.5,13.9,14.3,15,15.4,16,16.4
1170,13.3,13.5,13.9,14.3,14.9,15.3,16,16.4
1180,13.3,13.5,13.9,14.3,15,15.4,16,16.4
1190,13.3,13.5,13.9,14.3,15,15.4,16,16.4
1200,13.3,13.6,13.9,14.3,15,15.4,16,16.4
1210,13.3,13.5,13.9,14.3,15,15.4,16,16.4
1220,13.3,13.5,13.9,14.3,15,15.4,16,16.4
1230,13.3,13.5,13.9,14.3,15,15.4,16,16.4
1240,13.3,13.5,13.9,14.3,15,15.4,16,16.4
1250,13.3,13.5,14,14.3,15,15.4,16,16.4
1260,13.3,13.5,13.9,14.3,15,15.4,16,16.4
1270,13.3,13.6,13.9,14.3,15,15.4,16,16.4
1280,13.3,13.6,14,14.3,15,15.4,16,16.4
1290,13.3,13.5,13.9,14.3,15,15.4,16,16.4
1300,13.3,13.5,14,14.3,15,15.4,16,16.4
1310,13.3,13.6,14,14.3,15,15.4,16,16.5
1320,13.3,13.6,14,14.3,15,15.4,16,16.4
1330,13.3,13.6,13.9,14.3,15,15.4,16,16.5
1340,13.3,13.6,14,14.3,15,15.4,16,16.5
1350,13.3,13.6,14,14.3,15,15.4,16,16.5
1360,13.3,13.6,14,14.3,15,15.4,16,16.5
1370,13.3,13.6,14,14.3,15,15.4,16,16.5
1380,13.3,13.6,14,14.3,15,15.4,16,16.5
1390,13.3,13.6,14,14.3,15,15.4,16,16.5
1400,13.3,13.6,14,14.3,15,15.4,16,16.5
1410,13.3,13.6,14,14.3,15,15.4,16,16.5
1420,13.3,13.6,14,14.3,15,15.4,16,16.5
1430,13.3,13.6,14,14.3,15,15.4,16,16.5
1440,13.3,13.6,14,14.3,15,15.4,16,16.5
1450,13.3,13.6,14,14.3,15,15.4,16,16.5
1460,13.3,13.6,14,14.3,15,15.4,16,16.5
1470,13.3,13.6,14,14.3,15,15.4,16,16.5
1480,13.3,13.6,14,14.3,15,15.4,16,16.5
1490,13.3,13.6,14,14.3,15,15.4,16,16.5
1500,13.3,13.6,14,14.3,15,15.4,16,16.5
1510,13.3,13.6,14,14.3,15,15.4,16,16.5
1520,13.3,13.6,14,14.3,15,15.4,16,16.5
1530,13.3,13.6,14,14.3,15,15.4,16,16.5
1540,13.3,13.6,14,14.3,15,15.4,16,16.5
1550,13.3,13.6,14,14.3,15,15.4,16,16.5
1560,13.3,13.6,14,14.3,15,15.4,16,16.5
1570,13.3,13.6,14,14.3,15,15.4,16,16.5
1580,13.3,13.6,14,14.3,15,15.4,16,16.5
1590,13.3,13.6,14,14.3,15,15.4,16,16.5
1600,13.3,13.6,14,14.3,15,15.4,16,16.5
1610,13.3,13.6,14,14.3,15,15.4,16.1,16.5
1620,13.3,13.6,14,14.3,15,15.4,16,16.5
1630,13.3,13.6,14,14.3,15,15.4,16,16.5
1640,13.3,13.6,14,14.3,15,15.4,16.1,16.5
1650,13.3,13.6,14,14.3,15,15.4,16,16.5
1660,13.3,13.6,14,14.3,15,15.4,16.1,16.5
1670,13.3,13.6,14,14.3,15,15.4,16,16.5
1680,13.3,13.6,14,14.3,15,15.4,16,16.5
1690,13.3,13.6,14,14.3,15,15.4,16.1,16.5
1700,13.3,13.6,14,14.3,15,15.4,16.1,16.5
1710,13.3,13.6,14,14.3,15,15.4,16.1,16.5
1720,13.3,13.6,14,14.3,15,15.4,16.1,16.5
1730,13.3,13.6,14,14.3,15,15.4,16.1,16.5
1740,13.3,13.6,14,14.3,15,15.4,16.1,16.5
1750,13.3,13.6,14,14.3,15,15.4,16.1,16.5
