Time[s],CH1[C],CH2[C],CH3[C],CH4[C],CH5[C],CH6[C],CH7[C],CH8[C]
0,16.6,16.6,16.7,16.7,16.8,16.8,16.8,17
10,16.6,16.5,16.7,16.7,16.8,16.8,16.8,17
20,16.6,16.5,16.7,16.7,16.8,16.8,16.9,17
30,16.6,16.5,16.7,16.7,16.8,16.8,16.9,17.1
40,16.6,16.5,16.7,16.7,16.8,16.8,17,17.2
50,16.6,16.5,16.7,16.7,16.8,16.9,17.1,17.3
60,16.6,16.6,16.7,16.8,16.9,17,17.2,17.5
70,16.6,16.6,16.7,16.8,17,17.1,17.4,17.7
80,16.6,16.6,16.8,16.9,17.1,17.3,17.6,18
90,16.6,16.7,16.8,17,17.2,17.4,17.8,18.2
100,16.7,16.7,16.9,17,17.3,17.6,18,18.5
110,16.7,16.8,17,17.2,17.5,17.8,18.3,18.8
120,16.7,16.8,17.1,17.3,17.6,18,18.5,19
130,16.8,16.9,17.2,17.4,17.8,18.2,18.8,19.3
140,16.9,17,17.3,17.5,18,18.4,19,19.6
150,16.9,17.1,17.4,17.7,18.1,18.6,19.3,19.8
160,17,17.2,17.5,17.8,18.3,18.9,19.5,20.1
170,17,17.3,17.6,18,18.5,19.1,19.8,20.4
180,17.1,17.3,17.7,18.1,18.7,19.3,20,20.7
190,17.1,17.4,17.8,18.2,18.9,19.5,20.2,20.9
200,17.2,17.6,18,18.4,19.1,19.7,20.5,21.2
210,17.3,17.6,18.1,18.6,19.2,19.9,20.7,21.4
220,17.4,17.7,18.2,18.7,19.4,20.1,21,21.7
230,17.4,17.8,18.4,18.9,19.6,20.3,21.2,21.9
240,17.5,18,18.5,19,19.8,20.6,21.4,22.2
250,17.6,18.1,18.6,19.2,20,20.8,21.6,22.4
260,17.7,18.2,18.8,19.3,20.1,21,21.9,22.6
270,17.8,18.3,18.9,19.5,20.3,21.1,22.1,22.9
280,17.8,18.4,19,19.6,20.5,21.3,22.3,23.1
290,17.9,18.5,19.1,19.8,20.7,21.5,22.5,23.3
300,18,18.6,19.3,19.9,20.8,21.7,22.7,23.5
310,18,18.7,19.4,20.1,21,21.9,22.9,23.7
320,18.1,18.7,19.5,20.2,21.1,22.1,23.1,23.9
330,18.2,18.9,19.6,20.4,21.3,22.3,23.3,24.2
340,18.3,18.9,19.7,20.5,21.5,22.4,23.5,24.4
350,18.3,19,19.8,20.6,21.6,22.6,23.7,24.6
360,18.4,19.1,19.9,20.7,21.8,22.8,23.8,24.8
370,18.4,19.2,20,20.9,21.9,22.9,24,24.9
380,18.5,19.3,20.2,21,22,23.1,24.2,25.1
390,18.6,19.4,20.3,21.1,22.2,23.3,24.4,25.3
400,18.7,19.5,20.4,21.3,22.3,23.4,24.5,25.5
410,18.7,19.6,20.5,21.4,22.5,23.6,24.7,25.7
420,18.8,19.6,20.6,21.5,22.6,23.7,24.9,25.8
430,18.8,19.7,20.7,21.6,22.7,23.9,25,26
440,18.9,19.8,20.8,21.7,22.9,24,25.2,26.2
450,19,19.9,20.9,21.8,23,24.2,25.3,26.4
460,19,20,21,21.9,23.1,24.3,25.5,26.5
470,19.1,20,21,22.1,23.3,24.4,25.6,26.7
480,19.1,20.1,21.1,22.1,23.4,24.6,25.8,26.8
490,19.2,20.1,21.2,22.3,23.5,24.7,25.9,27
500,19.2,20.2,21.3,22.4,23.6,24.8,26.1,27.1
510,19.3,20.3,21.4,22.5,23.7,25,26.2,27.3
520,19.3,20.4,21.5,22.5,23.8,25.1,26.3,27.4
530,19.3,20.4,21.5,22.6,23.9,25.2,26.5,27.6
540,19.4,20.5,21.6,22.7,24,25.3,26.6,27.7
550,19.5,20.5,21.7,22.8,24.1,25.4,26.7,27.8
560,19.5,20.6,21.8,22.9,24.2,25.5,26.8,27.9
570,19.6,20.7,21.9,23,24.3,25.6,26.9,28.1
580,19.6,20.7,21.9,23.1,24.4,25.7,27.1,28.2
590,19.7,20.8,22,23.2,24.5,25.9,27.2,28.3
600,19.7,20.8,22.1,23.2,24.6,26,27.3,28.4
610,19.7,20.9,22.1,23.3,24.7,26.1,27.4,28.6
620,19.8,21,22.2,23.4,24.8,26.2,27.5,28.7
630,19.8,21,22.3,23.5,24.9,26.3,27.6,28.8
640,19.9,21.1,22.4,23.6,25,26.4,27.7,28.9
650,19.9,21.1,22.4,23.6,25.1,26.5,27.8,29
660,19.9,21.2,22.5,23.7,25.2,26.6,27.9,29.2
670,20,21.2,22.5,23.8,25.2,26.6,28,29.2
680,20,21.2,22.6,23.8,25.3,26.7,28.1,29.3
