Time[s],CH1[C],CH2[C],CH3[C],CH4[C],CH5[C],CH6[C],CH7[C],CH8[C]
0,11.6,12.4,12.9,13.5,13.9,14.5,14.6,15.1
10,11.6,12.4,12.9,13.5,13.9,14.5,14.6,15.1
20,11.6,12.4,12.9,13.5,13.9,14.5,14.6,15.2
30,11.6,12.4,12.9,13.5,13.9,14.5,14.7,15.2
40,11.6,12.4,12.9,13.5,13.9,14.5,14.7,15.3
50,11.7,12.4,13,13.5,13.9,14.5,14.7,15.4
60,11.6,12.4,12.9,13.5,13.9,14.5,14.7,15.4
70,11.7,12.4,12.9,13.5,13.9,14.5,14.8,15.5
80,11.7,12.4,12.9,13.5,13.9,14.5,14.8,15.6
90,11.7,12.4,13,13.5,13.9,14.6,14.9,15.7
100,11.6,12.4,13,13.5,13.9,14.6,14.9,15.8
110,11.6,12.4,12.9,13.5,13.9,14.6,15,15.9
120,11.7,12.4,12.9,13.5,13.9,14.6,15,16
130,11.6,12.4,13,13.5,14,14.6,15.1,16.1
140,11.7,12.4,13,13.5,14,14.7,15.1,16.2
150,11.7,12.4,13,13.5,14,14.7,15.2,16.3
160,11.7,12.4,13,13.5,14,14.8,15.3,16.4
170,11.7,12.4,13,13.5,14,14.8,15.3,16.5
180,11.7,12.4,13,13.6,14.1,14.8,15.4,16.6
190,11.7,12.4,13,13.6,14.1,14.9,15.5,16.7
200,11.7,12.4,13,13.6,14.1,14.9,15.6,16.9
210,11.7,12.4,13,13.6,14.1,15,15.7,17
220,11.7,12.4,13,13.6,14.2,15,15.8,17.1
230,11.7,12.4,13,13.6,14.2,15.1,15.8,17.2
240,11.7,12.4,13,13.7,14.2,15.1,15.9,17.3
250,11.7,12.4,13,13.7,14.3,15.2,16,17.4
260,11.7,12.4,13.1,13.7,14.3,15.2,16.1,17.6
270,11.7,12.4,13.1,13.7,14.4,15.3,16.2,17.7
280,11.7,12.4,13.1,13.7,14.4,15.3,16.3,17.8
290,11.7,12.4,13.1,13.8,14.4,15.4,16.4,17.9
300,11.7,12.4,13.1,13.8,14.5,15.5,16.5,18.1
310,11.7,12.5,13.1,13.8,14.5,15.5,16.6,18.2
320,11.7,12.5,13.2,13.9,14.6,15.6,16.6,18.3
330,11.7,12.5,13.2,13.9,14.6,15.7,16.7,18.4
340,11.7,12.5,13.2,13.9,14.7,15.7,16.8,18.5
350,11.7,12.5,13.2,13.9,14.7,15.8,16.9,18.7
360,11.7,12.5,13.3,14,14.8,15.9,17,18.8
370,11.7,12.5,13.3,14,14.8,15.9,17.1,18.9
380,11.8,12.6,13.3,14,14.9,16,17.2,19
390,11.8,12.6,13.3,14.1,14.9,16.1,17.3,19.1
400,11.8,12.6,13.3,14.1,15,16.1,17.4,19.3
410,11.8,12.6,13.4,14.2,15,16.2,17.5,19.4
420,11.8,12.6,13.4,14.2,15.1,16.3,17.6,19.5
430,11.8,12.6,13.4,14.2,15.1,16.3,17.7,19.6
440,11.8,12.6,13.4,14.3,15.2,16.4,17.8,19.7
450,11.8,12.7,13.5,14.3,15.3,16.5,17.9,19.9
460,11.9,12.7,13.5,14.4,15.3,16.6,18,20
470,11.9,12.7,13.5,14.4,15.4,16.6,18.1,20.1
480,11.9,12.7,13.6,14.5,15.4,16.7,18.2,20.2
490,11.9,12.8,13.6,14.5,15.5,16.8,18.3,20.3
500,11.9,12.8,13.6,14.5,15.5,16.8,18.4,20.4
510,11.9,12.8,13.7,14.6,15.6,16.9,18.5,20.6
520,11.9,12.8,13.7,14.6,15.7,17,18.6,20.7
530,11.9,12.8,13.7,14.7,15.7,17.1,18.7,20.8
540,12,12.9,13.8,14.7,15.8,17.2,18.8,20.9
550,12,12.9,13.8,14.8,15.9,17.2,18.9,21
560,12,12.9,13.8,14.8,15.9,17.3,19,21.1
570,12,12.9,13.9,14.9,16,17.4,19.1,21.3
580,12,13,13.9,14.9,16.1,17.5,19.2,21.4
590,12,13,13.9,14.9,16.1,17.5,19.2,21.5
600,12.1,13,14,15,16.2,17.6,19.3,21.6
610,12.1,13,14,15.1,16.2,17.7,19.4,21.7
620,12.1,13.1,14,15.1,16.3,17.8,19.5,21.8
630,12.1,13.1,14.1,15.2,16.4,17.8,19.6,21.9
640,12.1,13.1,14.1,15.2,16.4,17.9,19.7,22
650,12.2,13.2,14.2,15.2,16.5,18,19.8,22.1
660,12.2,13.2,14.2,15.3,16.6,18.1,19.9,22.2
670,12.2,13.2,14.2,15.4,16.6,18.1,20,22.3
680,12.2,13.2,14.3,15.4,16.7,18.2,20.1,22.5
690,12.2,13.3,14.3,15.5,16.7,18.3,20.2,22.6
700,12.3,13.3,14.4,15.5,16.8,18.4,20.3,22.7
710,12.3,13.3,14.4,15.6,16.9,18.5,20.4,22.8
720,12.3,13.4,14.5,15.6,17,18.5,20.5,22.9
730,12.3,13.4,14.5,15.7,17,18.6,20.6,23
740,12.3,13.4,14.5,15.7,17.1,18.7,20.7,23.1
750,12.4,13.5,14.6,15.8,17.2,18.8,20.8,23.2
760,12.4,13.5,14.6,15.8,17.2,18.8,20.8,23.3
770,12.4,13.5,14.7,15.9,17.3,18.9,20.9,23.4
780,12.4,13.5,14.7,15.9,17.3,19,21,23.5
790,12.5,13.6,14.7,16,17.4,19.1,21.1,23.6
800,12.5,13.6,14.8,16.1,17.5,19.2,21.2,23.7
810,12.5,13.7,14.8,16.1,17.5,19.2,21.3,23.8
